RQGOOIAOP@QAQAH@AOOQA@GIAOQAOO n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RQGOOGA_U@KAKAE@@_OKA?oI@_Q@_O n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RCp`_oK@_E?K?K?E?@c?Ko?p_@`_@_ n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RCQa`OSA_I?S?S?IOAa?Sg@POA`OA_ n=19 m=38 bipUB=8 ratio=8/361 0.022160665
RCO_cPCG_a@C`COaCG_`CaCPCG`CG_ n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RCO__OC_eAKCKCEA@__KC_oP@_`@__ n=19 m=38 bipUB=4 ratio=4/361 0.011080332
R?bB@_WB?K?W?W?KOBE?WW@_oB?oB? n=19 m=38 bipUB=4 ratio=4/361 0.011080332
R?`DA_gD?S?g?g_SGDD?gSA_gD?gD? n=19 m=38 bipUB=8 ratio=8/361 0.022160665
R?`@C`GH?c@G`GOcCHC`GQC_cH?cH? n=19 m=38 bipUB=4 ratio=4/361 0.011080332
R?`@?_G`ECKGKGEC@`CKGOo_``?``? n=19 m=38 bipUB=8 ratio=8/361 0.022160665
R?AEB?oE?W?o?o_WWEB?oKB?WE?WE? n=19 m=38 bipUB=6 ratio=6/361 0.016620499
R?AA@AOQ@GQOQOHGQQAQOHH?QQ?QQ? n=19 m=38 bipUB=4 ratio=4/361 0.011080332
R??CAA_S@OQ_Q_hOIS@Q_DI?IS?IS? n=19 m=38 bipUB=6 ratio=6/361 0.016620499
R??CA?_cEOK_K_eOHc@K_Cq?Hc?Hc? n=19 m=38 bipUB=8 ratio=8/361 0.022160665
R???CB?W@_R?r?X_EW?r?BK?EW?EW? n=19 m=38 bipUB=8 ratio=8/361 0.022160665
R???C@?gE_L?l?U_Dg?l?As?Dg?Dg? n=19 m=38 bipUB=6 ratio=6/361 0.016620499
RlUihSTAgI_T?T?IoAi?Tg@TOAlOAg n=19 m=57 bipUB=9 ratio=9/361 0.024930748
RlSgkTDGga`D`DOacGg`DaCTCGlCGg n=19 m=57 bipUB=11 ratio=11/361 0.030470914
RhdLIchDGS_h?h_SgDL?hSAcgDKgDG n=19 m=57 bipUB=11 ratio=11/361 0.030470914
RhdHKdHHGc`H`HOccHK`HQCccHKcHG n=19 m=57 bipUB=9 ratio=9/361 0.024930748
RhEIHEPQHGqPQPHGqQIQPHHCQQKQQG n=19 m=57 bipUB=11 ratio=11/361 0.030470914
RhCKIE`SHOq`Q`hOiSHQ`DICISKISG n=19 m=57 bipUB=9 ratio=9/361 0.024930748
RUWosXEGob@E`EObCGo`EaCZCGrCGo n=19 m=57 bipUB=9 ratio=9/361 0.024930748
RUWooWE_uBKEKEEB@_oKE_oZ@_r@_o n=19 m=57 bipUB=11 ratio=11/361 0.030470914
RQIURGqEOX?q?q_XWER?qKBIWEQWEO n=19 m=57 bipUB=11 ratio=11/361 0.030470914
RQIQPIQQPHQQQQHHQQQQQHHIQQQQQO n=19 m=57 bipUB=9 ratio=9/361 0.024930748
RQGSQGacUPKaKaePHcPKaCqIHcQHcO n=19 m=57 bipUB=9 ratio=9/361 0.024930748
RQGOSJAWP`RArAX`EWOrABKIEWQEWO n=19 m=57 bipUB=11 ratio=11/361 0.030470914
