Z?bFF`wN?{@w@w?{?N?@w?F_?N??N??Fa?@wo?NF??{]?@w]?@wN??{Bo?N? n=27 m=108 bip=22 ratio=22/729 0.030178326
Z?`DA_gD?SOgOggSYDBOglA`YD@YD?lA_JOg`YDADgSSJOgSJOgIDgSA`YD? n=27 m=108 bip=22 ratio=22/729 0.030178326
Z????A?OD?I?i?t?\OFi?]gA|OA|OD]g@Vi?I|O?jt?@Vi?@Vi??jt??I|O? n=27 m=108 bip=22 ratio=22/729 0.030178326
[lSgkTDGga`D`DOacGg`DaCTCGhCGgaCSG`D`CGiCOacG`DCG`DaCOag`CGlCG`D n=28 m=112 bip=26 ratio=26/784 0.033163265
[lSggUDOhAaDAD`AgOlADSGSgOggOgSGUDADOgOhA`AaDADADAD`A`AgOgOlADAD n=28 m=112 bip=24 ratio=24/784 0.030612245
[hdLIchDGS_h?h_SgDL?hSAcgDGgDGSAcD?h?gDKA_SgD?hgD?hSA_Sd?gDKgD?h n=28 m=112 bip=24 ratio=24/784 0.030612245
[hdHKdHhIcdHDHAc_hGDH?Sc?hG?hK?Sd?DHg?hI_Acd?DHd?DHQ_Accg?hKd?DH n=28 m=112 bip=26 ratio=26/784 0.033163265
[hdHGcH@KCgHGHcCh@LGHS_ch@Kh@IS_cdGHCh@GQcC_dGH_dGHOQcCcCh@K_dGH n=28 m=112 bip=24 ratio=24/784 0.030612245
[hEIHCPaIGcPcPQGcaGcPaPDCaHCaKaPDGcPHCaGcQGpGcPPGcPGcQGaHCaKPGcP n=28 m=112 bip=24 ratio=24/784 0.030612245
[hCKIC`CKOg`G`cOhCLG`SaChCKhCISaCdG`ChCKQcOgdG`GdG`CQcO`ChCKGdG` n=28 m=112 bip=24 ratio=24/784 0.030612245
[hCGKD@GK_h@h@S_dGGh@acDDGLDGIacCgh@dDGISS_cgh@Cgh@ASS__dDGKCgh@ n=28 m=112 bip=24 ratio=24/784 0.030612245
[hCGGE@OH?q@Q@h?iOLQ@TGEiOIiOHTGETQ@QiOHIh?aTQ@ATQ@@Ih?_QiOKATQ@ n=28 m=112 bip=24 ratio=24/784 0.030612245
[UWosZEWpbBEBE@b?WoBE?KW?Wo?Wo?KY?BEo?Wr?@bE?BEE?BEb?@bWo?WrE?BE n=28 m=112 bip=24 ratio=24/784 0.030612245
[UWooWE?sBWEWEKBB?oWE@_YB?uB?r@_WoWEEB?oWKB?oWE?oWE_WKBWEB?r?oWE n=28 m=112 bip=24 ratio=24/784 0.030612245
[UWooWE?oBOEoEWBE?ooEb?ZE?rE?pb?WWoEBE?oKWB?WoE?WoE_KWBWBE?r?WoE n=28 m=112 bip=24 ratio=24/784 0.030612245
[QIURGqeQXCqCqAX?eOCq?RG?eO?eS?RH?CqG?eS_AXX?CqX?CqK_AXRG?eQX?Cq n=28 m=112 bip=24 ratio=24/784 0.030612245
[QIQPIQqRHEQEQBH?qOEQ?XG?qO?qS?XJ?EQW?qP_BHR?EQR?EQH_BHQW?qQR?EQ n=28 m=112 bip=24 ratio=24/784 0.030612245
[QGOSJAWP`RARAH`AWORA@KIAWQAWP@KIORAqAWRGH`EORAEORABGH`OqAWQEORA n=28 m=112 bip=24 ratio=24/784 0.030612245
[Crb`o[B_MO[O[GMAB_O[@@qABaAB`@@oOO[AAB_GGMOOO[oOO[wGGMMAAB`oOO[ n=28 m=112 bip=24 ratio=24/784 0.030612245
[Cp`_oK`aESKSKIEA`_SK@OqA`aA`d@OpOSKIA`_gIE@OSK`OSKogIEKIA```OSK n=28 m=112 bip=24 ratio=24/784 0.030612245
[CO_cRCwbaFCFCBa?w_FC?[O?w_?wc?[R?FCw?wb_BaF?FCF?FCb_BaGw?w`F?FC n=28 m=112 bip=26 ratio=26/784 0.033163265
[CO__OC?cAWCwC[AF?_wCb_RF?fF?bb_OwwCFF?_[[A?wwC?wwC_[[AGFF?`?wwC n=28 m=112 bip=24 ratio=24/784 0.030612245
[?bFF`wN?{@w@w?{?N?@w?F_?N??N??F_?@w_?NE??{[?@w{?@w]??{F_?N?{?@w n=28 m=112 bip=24 ratio=24/784 0.030612245
[?bBD`WJ?k@W@W_kGJD@WSD_gJ?gJ?SD_D@W_gJAA_kSD@WsD@WYA_kE_gJ?sD@W n=28 m=112 bip=26 ratio=26/784 0.033163265
[?`DE`glAsDgDgAs?l?Dg?U_?l??lC?U`?Dgg?lE_AsL?Dgl?DgU_AsDg?l?l?Dg n=28 m=112 bip=24 ratio=24/784 0.030612245
[?AEBAouBWEoEoBW?u?Eo?Z??u??uC?ZB?EoW?uD_BWZ?EoZ?EoL_BWBW?u?Z?Eo n=28 m=112 bip=24 ratio=24/784 0.030612245
[?AADBOY@gROROHgAY?RO@LAAYAAY@@LAOROqAYBGHgUOROUOROJGHgAqAY?UORO n=28 m=112 bip=26 ratio=26/784 0.033163265
[?AA@?OaAGCOcOqGKaDcOuP@ka@kaCuP@LcOHka?eqGPLcOPLcOGeqGAHka?PLcO n=28 m=112 bip=24 ratio=24/784 0.030612245
[???C@?GC_H?h?s_LGDh?uc@lGDlGAuc?lh?dlGAUs_Clh?Clh?AUs_?dlG?Clh? n=28 m=112 bip=24 ratio=24/784 0.030612245
[???C@?G?_P?p?w_MGDp?vCBmGBmG@vC?\p?bmGAMw_C\p?C\p?AMw_?bmG?C\p? n=28 m=112 bip=26 ratio=26/784 0.033163265
[hdHKdHHKchHHHcchHLHHScchHKhHISccdHHchHIQcccdHHcdHHQQcccchHKcdHH n=28 m=140 bip=24 ratio=24/784 0.030612245
[UWosXEGobPEpEWbEGopEbCZEGrEGpbCWWpEbEGqKWbCWpECWpEaKWbWbEGrCWpE n=28 m=140 bip=24 ratio=24/784 0.030612245
[?AEFBo}BwFoFoBw?}?Fo?^??}??}C?^B?Fow?}F_Bw^?Fo^?FoN_BwBw?}?^?Fo n=28 m=140 bip=24 ratio=24/784 0.030612245
\lSgkTDGga`D`DOacGg`DACUCGiCGhACSO`DACGkGOagO`DGO`DCGOapACGiGO`Dg`ACS n=29 m=116 bip=28 ratio=28/841 0.033293698
\hdLIchdISchChAS_dGCh?Qc?dG?dG?Qe?ChO?dH?ASq?ChQ?Chh?ASiO?dHQ?ChdG?Qc n=29 m=116 bip=26 ratio=26/841 0.030915577
\hdHGcH@KCgHgHSCd@GgHA_eD@ID@LA_dOgHID@GgSC`OgH@OgH_gSCgID@H@OgHcDA_c n=29 m=116 bip=28 ratio=28/841 0.033293698
