10 7 2 1;13 12 1 0;17 14 10 5;5;14;30;13;2;1
11 5 4 0;12 7 6 1;17 14 10 5;14;54;136;27;15;10
12 5 3 0;13 9 3 1;17 14 10 5;24;114;318;31;47;20
13 4 2 1;11 8 4 3;17 14 10 5;4;10;20;11;1;0
9 7 5 0;11 10 3 1;17 14 10 5;11;41;102;22;11;7
10 7 4 0;11 8 4 2;17 14 10 5;24;115;322;30;48;20
10 7 4 0;12 10 2 1;17 14 10 5;14;56;144;25;17;10
11 6 4 0;14 8 3 0;17 14 10 5;25;116;319;33;45;21
11 7 2 1;13 9 3 0;17 14 10 5;23;103;278;32;37;19
12 5 3 1;15 6 4 0;17 14 10 5;5;14;30;13;2;1
12 5 4 0;10 9 6 0;17 14 10 5;12;42;100;27;9;8
12 5 4 0;12 9 3 1;17 14 10 5;19;82;218;29;28;15
12 8 1 0;11 8 5 1;17 14 10 5;17;71;186;28;23;13
13 7 1 0;12 7 4 2;17 14 10 5;12;45;112;24;12;8
13 7 1 0;13 7 3 2;17 14 10 5;10;36;88;21;9;6
14 4 2 1;11 9 4 1;17 14 10 5;6;18;40;15;3;2
10 9 3 0;15 7 2 0;17 14 10 5;11;41;102;22;11;7
11 5 4 2;12 9 2 1;17 14 10 5;10;36;88;21;9;6
11 6 4 1;11 8 5 0;17 14 10 5;27;130;364;33;54;23
12 8 2 0;16 6 2 0;17 14 10 5;9;30;70;21;6;5
13 6 2 1;12 9 2 1;17 14 10 5;12;45;112;24;12;8
13 6 3 0;13 9 2 0;17 14 10 5;27;131;368;32;55;23
13 7 2 0;11 8 4 1;17 14 10 5;24;110;301;33;42;20
13 7 2 0;12 10 2 0;17 14 10 5;22;101;277;30;39;18
13 8 1 0;15 7 2 0;17 14 10 5;13;51;130;24;15;9
14 7 1 0;13 6 3 2;17 14 10 5;6;18;40;15;3;2
16 4 2 0;12 7 5 0;17 14 10 5;4;10;20;11;1;0
8 7 6 2;10 8 3 2;17 14 10 5;4;10;20;11;1;0
8 7 6 2;12 7 4 0;17 14 10 5;6;18;40;15;3;2
9 7 4 3;10 8 5 0;17 14 10 5;10;37;92;20;10;6
9 7 6 1;11 9 2 1;17 14 10 5;6;18;40;15;3;2
9 8 5 1;11 9 3 0;17 14 10 5;14;56;144;25;17;10
10 7 4 2;10 8 3 2;17 14 10 5;9;30;70;21;6;5
10 7 6 0;10 8 5 0;17 14 10 5;17;71;186;28;23;13
11 10 2 0;16 5 2 0;17 14 10 5;4;10;20;11;1;0
13 5 4 1;14 6 2 1;17 14 10 5;6;18;40;15;3;2
6 4 2 0;17 12 4 2;21 14 9 3;4;10;20;11;1;0
7 3 2 0;16 10 7 2;21 14 9 3;4;10;20;11;1;0
8 3 1 0;20 11 4 0;21 14 9 3;9;30;70;21;6;5
6 4 2 1;16 11 6 1;21 14 9 3;5;14;30;13;2;1
6 5 2 0;16 10 7 1;21 14 9 3;7;22;50;17;4;3
10 2 1 0;15 11 7 1;21 14 9 3;8;27;64;18;6;4
6 5 2 1;16 10 7 0;21 14 9 3;5;14;30;13;2;1
7 4 3 0;15 11 6 1;21 14 9 3;6;18;40;15;3;2
7 5 2 0;17 9 6 1;21 14 9 3;13;51;130;24;15;9
8 3 2 1;17 10 6 0;21 14 9 3;8;27;64;18;6;4
8 3 2 1;19 11 2 1;21 14 9 3;4;10;20;11;1;0
7 5 3 0;19 9 3 1;21 14 9 3;4;10;20;11;1;0
8 4 2 1;17 9 6 0;21 14 9 3;11;42;106;21;12;7
8 4 2 1;18 10 3 1;21 14 9 3;7;22;50;17;4;3
8 5 2 0;17 8 5 2;21 14 9 3;8;26;60;19;5;4
9 5 1 0;15 13 3 1;21 14 9 3;7;22;50;17;4;3
10 4 1 0;18 11 3 0;21 14 9 3;18;78;208;27;27;14
10 4 1 0;20 6 4 2;21 14 9 3;4;10;20;11;1;0
7 6 3 0;18 8 5 0;21 14 9 3;10;34;80;23;7;6
9 5 2 0;17 9 3 2;21 14 9 3;10;34;80;23;7;6
9 6 1 0;15 11 5 0;21 14 9 3;18;76;200;29;25;14
10 3 2 1;17 7 6 1;21 14 9 3;5;14;30;13;2;1
