C20(3,8,10) n=20 e=50 beta=10 Rbest=144 C5=144 tr5mod10=0 propA=OK
C20(3,9,10) n=20 e=50 beta=8 Rbest=80 C5=80 tr5mod10=0 propA=OK
C20(4,5,6) n=20 e=60 beta=8 Rbest=64 C5=64 tr5mod10=0 propA=OK
C20(4,5,7) n=20 e=60 beta=12 Rbest=396 C5=404 tr5mod10=0 propA=OK
C20(4,6,9) n=20 e=60 beta=12 Rbest=244 C5=244 tr5mod10=0 propA=OK
C20(4,7,10) n=20 e=50 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(4,9,10) n=20 e=50 beta=10 Rbest=144 C5=144 tr5mod10=0 propA=OK
C20(5,7,9) n=20 e=60 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(5,8,9) n=20 e=60 beta=12 Rbest=396 C5=404 tr5mod10=0 propA=OK
C20(6,9,10) n=20 e=50 beta=10 Rbest=160 C5=160 tr5mod10=0 propA=OK
C20(7,8,9) n=20 e=60 beta=12 Rbest=296 C5=304 tr5mod10=0 propA=OK
C20(7,8,10) n=20 e=50 beta=10 Rbest=144 C5=144 tr5mod10=0 propA=OK
C20(7,9,10) n=20 e=50 beta=8 Rbest=80 C5=80 tr5mod10=0 propA=OK
C20(8,9,10) n=20 e=50 beta=6 Rbest=4 C5=4 tr5mod10=0 propA=OK
C20(1,3,5,7) n=20 e=80 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,3,5,9) n=20 e=80 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,3,7,9) n=20 e=80 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(1,3,8,10) n=20 e=70 beta=12 Rbest=492 C5=504 tr5mod10=0 propA=OK
C20(1,4,6,9) n=20 e=80 beta=16 Rbest=1024 C5=1024 tr5mod10=0 propA=OK
C20(1,4,7,10) n=20 e=70 beta=12 Rbest=492 C5=504 tr5mod10=0 propA=OK
C20(1,5,7,9) n=20 e=80 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(2,3,7,8) n=20 e=80 beta=16 Rbest=1024 C5=1024 tr5mod10=0 propA=OK
C20(3,4,9,10) n=20 e=70 beta=12 Rbest=492 C5=504 tr5mod10=0 propA=OK
C20(3,5,7,9) n=20 e=80 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C20(7,8,9,10) n=20 e=70 beta=12 Rbest=492 C5=504 tr5mod10=0 propA=OK
C20(1,3,5,7,9) n=20 e=100 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(1,3) n=21 e=42 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(1,4) n=21 e=42 beta=6 Rbest=21 C5=21 tr5mod10=0 propA=OK
C21(1,5) n=21 e=42 beta=6 Rbest=21 C5=21 tr5mod10=0 propA=OK
C21(1,6) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
