d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
3	5	25	45	2	5	1	1,21,22,1	18,15,11,4,1	15,10,7,4,1	33,21,18,9,5	purged_region\pop_profile.jsonl
6	5	85	722	388	591	1	1,78,388,255,0,0,0	16,11,8,5,1	16,12,8,5	31,20,16,11,4	purged_region\pop_profile.jsonl
6	5	52	292	108	227	1	1,45,162,84,0,0,0	18,15,9,6,2	13,10,7,4,1	28,25,15,13,4	purged_region\pop_profile.jsonl
9	6	41	840	440	1037	1	1,31,211,381,195,21,0,0,0,0	9,7,6,5,4,3	12,5,2,1	19,11,9,6,5,4	purged_region\pop_profile.jsonl
6	5	79	1018	311	436	1	1,72,428,439,77,1,0	21,18,12,6,1	11,8,5,2	30,24,15,8,7	purged_region\pop_profile.jsonl
6	6	14	16	16	217	1	1,7,8,0,0,0,0	12,8,6,4,3,2	21,6,2	32,11,7,7,4,3	purged_region\pop_profile.jsonl
6	6	11	5	0	1	1	1,4,0,0,0,0,0	12,9,9,5,4,1	6,6,3,3,1	16,14,10,10,6,3	purged_region\pop_profile.jsonl
6	5	44	234	131	291	1	1,37,131,65,0,0,0	17,12,9,5,1	17,14,6,3	33,24,14,7,6	purged_region\pop_profile.jsonl
6	5	61	418	76	137	1	1,54,228,135,0,0,0	16,10,7,4,1	19,13,6,3	34,20,11,10,4	purged_region\pop_profile.jsonl
5	5	10	9	12	185	1	1,4,4,0,0,0	7,4,3,1,1	24,6,4,3	30,9,7,5,2	purged_region\pop_profile.jsonl
4	6	9	7	2	37	1	1,4,2,0,0	10,6,3,3,2,2	14,8,6	22,13,9,4,3,3	purged_region\pop_profile.jsonl
6	5	299	12810	9311	9835	1	1,292,3440,6524,2431,122,0	18,15,10,5,1	13,10,7,4,1	28,23,17,9,7	purged_region\pop_profile.jsonl
6	5	106	1808	1565	1977	1	1,99,694,834,177,3,0	20,17,7,4,1	17,10,7,4,1	35,26,13,8,6	purged_region\pop_profile.jsonl
5	5	33	103	177	493	1	1,27,59,16,0,0	13,10,7,4,1	20,14,4,1	31,23,8,8,4	purged_region\pop_profile.jsonl
5	6	19	48	26	103	1	1,13,26,8,0,0	15,8,3,2,1,1	11,9,4,2	24,16,5,5,4,2	purged_region\pop_profile.jsonl
5	5	85	723	392	529	1	1,79,374,251,18,0	19,13,7,4,1	23,15,4	39,27,10,7,3	purged_region\pop_profile.jsonl
6	5	31	120	138	413	1	1,24,69,26,0,0,0	13,10,7,4,1	20,13,7,4,1	29,25,12,10,4	purged_region\pop_profile.jsonl
5	5	12	12	15	209	1	1,6,5,0,0,0	16,4,3,2,1	16,8,6	30,11,8,4,3	purged_region\pop_profile.jsonl
6	6	40	160	184	511	1	1,33,92,34,0,0,0	21,14,11,7,4,1	12,9,5,2	30,23,17,7,5,4	purged_region\pop_profile.jsonl
5	5	11	9	9	197	1	1,5,3,0,0,0	12,8,5,3,2	7,3,3,2,1	17,11,7,6,5	purged_region\pop_profile.jsonl
3	5	17	24	10	37	1	1,13,10,0	17,14,11,8,1	23,13	37,24,13,10,3	purged_region\pop_profile.jsonl
7	6	45	269	1460	3649	1	1,37,146,85,0,0,0,0	17,14,11,8,5,2	14,11,6	30,23,15,10,6,4	purged_region\pop_profile.jsonl
5	5	10	5	0	1	1	1,4,0,0,0,0	22,6,6,4,2	12,4,3,2	33,10,8,6,4	purged_region\pop_profile.jsonl
