g6	n	m	Q	bip	dist	phi	tf	mtf
NFz_ww[?wF?[WEwF[B_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[WFwE[B_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[WFwF[B?	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFWFKB_	15	43	15	7	2	000111222333444	1	0
NDz_ww[?wF?[wFWF[B_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[wFWF[B_	15	43	15	7	2	333444000111222	1	0
NFy_ww[?wF?[wFWF[B_	15	43	15	7	2	333444000111222	1	0
NFz_ww[?wF?[gFWF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFGF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFWFSB_	15	43	15	7	2	000111222333444	1	0
NEz_ww[?wF?[wFWF[B_	15	43	15	7	2	333444000111222	1	0
NFr_ww[?wF?[wFWF[B_	15	43	15	7	2	333444000111222	1	0
NFz?ww[?wF?[wFWF[B_	15	43	15	7	2	333444000111222	1	0
NFz_ww[?wF?[oFWF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFOF[B_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFWFWB_	15	43	15	7	2	000111222333444	1	0
NFz_Ww[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wW[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wwK?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_gw[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wg[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wwS?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_ow[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wo[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_wwW?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFz_ww[?WF?[wFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wB?[wFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?KwFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?gF?[wFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wD?[wFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?SwFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?oF?[wFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wE?[wFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?WwFWF[B_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?[wBWF[B_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFWB[B_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[wFWF[@_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wDWF[B_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFWD[B_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[wFWF[A_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wEWF[B_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFWE[B_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[wFWF[B?	15	43	15	7	2	222111000444333	1	0
NDz_ww[?wF?[wFwFKB_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[wFwFKB_	15	43	15	7	2	333444000111222	1	0
NFy_ww[?wF?[wFwFKB_	15	43	15	7	2	333444000111222	1	0
NFz_ww[?wF?[gFwFKB_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFgFKB_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFwFCB_	15	43	15	7	2	000111222333444	1	0
NEz_ww[?wF?[wFwFKB_	15	43	15	7	2	333444000111222	1	0
NFr_ww[?wF?[wFwFKB_	15	43	15	7	2	333444000111222	1	0
NFz?ww[?wF?[wFwFKB_	15	43	15	7	2	333444000111222	1	0
NFz_ww[?wF?[oFwFKB_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFoFKB_	15	43	15	7	2	000111222333444	1	0
NFz_ww[?wF?[wFwFGB_	15	43	15	7	2	000111222333444	1	0
NFz_Ww[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_wW[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_wwK?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_gw[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_wg[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_wwS?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_ow[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_wo[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_wwW?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NFz_ww[?WF?[wFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wB?[wFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?KwFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?gF?[wFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wD?[wFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?SwFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?oF?[wFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wE?[wFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?WwFwFKB_	15	43	15	8	2	000111222333444	1	0
NFz_ww[?wF?[wBwFKB_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFwBKB_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFwFK@_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[wDwFKB_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFwDKB_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFwFKA_	15	43	15	8	2	222111000444333	1	0
NFz_ww[?wF?[wEwFKB_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFwEKB_	15	43	15	7	2	222111000444333	1	0
NFz_ww[?wF?[wFwFKB?	15	43	15	8	2	222111000444333	1	0
NDj_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDy_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_ww[?wF?[gFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wF?[wFgF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wF?[wFwFSB_	15	43	15	8	2	333444000111222	1	0
NCz_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDr_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz?ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_ww[?wF?[oFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_ww[?wF?[wFoF[B_	15	43	15	7	2	333444000111222	1	0
NDz_ww[?wF?[wFwFWB_	15	43	15	7	2	333444000111222	1	0
NDz_Ww[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_wW[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_wwK?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_gw[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_wg[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_wwS?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_ow[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_wo[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_wwW?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NDz_ww[?WF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wB?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wF?KwFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?gF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wD?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wF?SwFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?oF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wE?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wF?WwFwF[B_	15	43	15	8	2	333444000111222	1	0
NDz_ww[?wF?[wBwF[B_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wFwB[B_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wFwF[@_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wDwF[B_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wFwD[B_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wFwF[A_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wEwF[B_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wFwE[B_	15	43	15	8	2	222111000444333	1	0
NDz_ww[?wF?[wFwF[B?	15	43	15	8	2	222111000444333	1	0
NFi_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[gFwF[B_	15	43	15	8	2	333444000111222	1	0
NFj_ww[?wF?[wFgF[B_	15	43	15	8	2	333444000111222	1	0
NFj_ww[?wF?[wFwFSB_	15	43	15	8	2	333444000111222	1	0
NEj_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFb_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFj?ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[oFwF[B_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[wFoF[B_	15	43	15	7	2	333444000111222	1	0
NFj_ww[?wF?[wFwFWB_	15	43	15	7	2	333444000111222	1	0
NFj_Ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFj_wW[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
