N????A?[B_]?buB~N{?	15	34	4
N????A?[B_^?bu@~N{?	15	34	5
N????A?[CW`}B{[y^w?	15	35	5
N????A?[CW`}[y[y^w?	15	36	4
N????A?[CW`}[y^w^w?	15	37	4
N????A?[CW`}[y~o^w?	15	37	4
N????A?[CWpyB{[y^w?	15	35	5
N????A?[CW}?[yB|^w?	15	34	5
N????A?[C[`}B{[Y^w?	15	35	5
N????A?[C[mLB{^w^w?	15	37	4
N????A?[C[mLB{~o^w?	15	37	4
N????A?[C[pyB{[Y^w?	15	35	5
N????A?[C]`}~o~oN{?	15	40	3
N????A?[C]pyB{^w^w?	15	38	4
N????A?[F_MCB}bt^w?	15	34	5
N????A?[F_NC`tB}^w?	15	34	5
N????A?[F_PyB}B}N{?	15	36	4
N????A?[F_PyB}^wN{?	15	37	4
N????A?[F_PyB}~oN{?	15	37	4
N????A?[F_PybsB}N{?	15	35	5
N????A?[F_]?bsB~N{?	15	34	4
N????A?[Fo^?bs@~N{?	15	35	5
N????A?]BoOz@}~oN{?	15	37	5
N????A?]Bo^?`u@~N{?	15	35	5
N????A?]CM~?}?@|n{?	15	35	5
N????A?oA@^w^wNuFz?	15	37	4
N????A?oA@^w^wNuF}?	15	37	3
N????A?oA@^w~oN{Vx?	15	37	3
N????A?oB@RxFu~oF}?	15	36	4
N????A?oB@Rxfq~oF}?	15	36	4
N????A?oB@Rx~oN{F}?	15	37	4
N????A?oB@Rx~o^wF}?	15	37	3
N????A?oB@Rx~o~oF}?	15	37	3
N????A?oB`MCbr~oF}?	15	34	4
N????A?oB`PxBu~oF}?	15	35	5
N????A?oB`Pxbq~oF}?	15	35	4
N????A?oB`Px~oN{F}?	15	37	4
N????A?oB`Px~o^wF}?	15	37	3
N????A?oB`Px~o~oF}?	15	37	3
N????A?oDo?~PyN{^w?	15	35	5
N????A?oDoFAPz~oF}?	15	34	5
N????A?oDoG|Py~oF}?	15	35	4
N????A?oDoG|~oN{F}?	15	37	4
N????A?oDoG|~o^wF}?	15	37	3
N????A?oDoG|~o~oF}?	15	37	3
N????A?oDoOwPy]HF}?	15	31	4
N????A?oDoV?Pz~oF}?	15	34	4
N????A?oF?KC~oFvF}?	15	33	5
N????A?oF?^wF}^wF}?	15	38	4
N????A?oF_@~N{~oN{?	15	38	4
N????A?oF_EEB}rpN{?	15	33	5
N????A?oF_MCBv~oF}?	15	34	5
N????A?oFo?~~oN{N{?	15	38	4
N????A?oFoWw@}MLN{?	15	33	5
N????A?oF}F}^w^wN{?	15	43	2
N????A?oF}^wN{N{N{?	15	43	3
N????A?oF}^wN{^wN{?	15	43	2
N????A?oF}^w~oN{N{?	15	43	2
N????A?w?pb}xq~oN{?	15	38	4
N????A?w?x{XF{^w^w?	15	38	4
N????A?w?~b}F{~oN{?	15	41	3
N????A?w?~b}^w^w^w?	15	42	3
N????A?w?~b}^w~o^w?	15	42	3
