g6	n	m	Q	bip	dist	phi	tf	mtf
H?BDvbw	9	15	9	0	2	441113000	1	0
H?BDtpw	9	14	9	0	3	114442000	1	0
H?BDtrw	9	15	9	0	2	114442000	1	0
H?BDrro	9	14	9	0	3	441113000	1	0
H?BDrrw	9	15	9	0	2	441113000	1	0
H?BDvrw	9	16	9	0	1	441113000	1	0
H?BFvrw	9	17	9	0	0	441113000	1	0
H?B@nB_	9	11	9	1	4	000331311	1	0
H?B@nBo	9	12	9	1	4	114412300	1	0
H?B@nBg	9	12	9	1	4	114242300	1	0
H?B@nBW	9	12	9	1	4	114412300	1	0
H?B@nAw	9	12	9	1	4	113330402	1	0
H?B@nBw	9	13	9	1	3	113330402	1	0
H?B@nBI	9	12	9	1	3	003301241	1	0
H?B@n?\	9	12	9	1	4	111330104	1	0
H?B@nbo	9	13	9	1	3	114412300	1	0
H?B@nbw	9	14	9	1	2	114412300	1	0
H?B@n_{	9	13	9	2	2	113330424	1	0
H?B@mRo	9	12	9	1	3	114412320	1	0
H?B@mRg	9	12	9	1	3	113310402	1	0
H?B@mQw	9	12	9	1	3	113310402	1	0
H?B@mRw	9	13	9	1	2	113310402	1	0
H?B@mO{	9	12	9	1	3	442220131	1	0
H?B@mOt	9	12	9	0	2	330032121	1	0
H?B@lRo	9	12	9	1	4	114412300	1	0
H?B@lRg	9	12	9	1	4	114412300	1	0
H?B@lRW	9	12	9	1	4	113310422	1	0
H?B@lRw	9	13	9	1	3	441113200	1	0
H?B@lO{	9	12	9	1	3	330002141	1	0
H?B@nRo	9	13	9	1	3	114412300	1	0
H?B@nRg	9	13	9	1	3	114412300	1	0
H?B@nRW	9	13	9	1	3	113310422	1	0
H?B@nQw	9	13	9	1	3	441113200	1	0
H?B@nRw	9	14	9	1	2	114412300	1	0
H?B@nO{	9	13	9	2	2	331114020	1	0
H?B@nRI	9	13	9	1	2	113310420	1	0
H?B@nrw	9	15	9	1	1	441113200	1	0
H?B@hzw	9	14	9	2	1	331114002	1	0
H?B@~bo	9	14	9	1	2	441113200	1	0
H?B@~bg	9	14	9	1	2	441113200	1	0
H?B@~bw	9	15	9	1	1	441113200	1	0
H?B@|ro	9	14	9	1	2	331114022	1	0
H?B@|qw	9	14	9	1	2	331114022	1	0
H?B@|pw	9	14	9	1	2	331114022	1	0
H?B@|rw	9	15	9	1	1	441113200	1	0
H?B@~rw	9	16	9	1	0	441113200	1	1
H?B@xzw	9	15	9	2	0	331114002	1	1
H?BfFBo	9	13	9	0	1	000331111	1	0
H?BfFBW	9	13	9	0	1	000224441	1	0
H?BfFBw	9	14	9	0	0	111330002	1	0
H?BfFbo	9	14	9	0	2	000031111	1	0
H?BfFbg	9	14	9	0	2	000331111	1	0
H?BfFbw	9	15	9	0	1	111330002	1	0
H?BfF_]	9	14	9	1	1	111330024	1	0
